"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"928_04",0.601089625737455,0.00441494491948775,0.00383967667644919,0.00376802032038612,0.00378843686056391,0.00382179618277725,0.00388262886268112,0.00364266085339848,0.00382711239758575,0.0042513967382789,0.00388290087733913,0.00371223513272953,0.00378999963108522,0.00378184217796807,0.00406399134702283,0.00376955816287376,0.00361416046967484,0.00410422935538646,0.00378883602241407,0.00370153410730833,0.0038544998099022,0.321609913357232
"928_09",0.459090827905452,0.109008837627855,0.0271524711108391,0.0197738182909661,0.019756784928154,0.0207285791389662,0.0199206075287983,0.0203718784161116,0.0205776999982727,0.0196537965007222,0.0192987294164003,0.0185624672211588,0.0201025665431871,0.0192392812352341,0.0201298052918023,0.0197987303906245,0.019193107807691,0.0207908767721814,0.0195749153839563,0.0198051163764008,0.0293640787733087,0.0381050233419182
"935_01",0.00753249480203572,0.00760249085141764,0.00729155041169855,0.00675606153035276,0.00672355748404721,0.00677398479460268,0.00706480514871826,0.00672935691395486,0.00688436511842013,0.00745113188443709,0.00748519363918649,0.00783356466972032,0.00787721456590798,0.00742072771127592,0.00750753236597034,0.00798574952984454,0.0078824423930034,0.00771057457543049,0.0071517485605878,0.00714552958373652,0.00739875559134315,0.845791167874308
"928_07",0.00511467042402732,0.0042292329282471,0.00441208331109489,0.00432689758030291,0.00439866700723352,0.00403885590312022,0.00429395099458749,0.00419066026695612,0.00427125278743568,0.00412073217933777,0.0050412394683415,0.00430494978368133,0.00422404198848341,0.00494511256010791,0.00419165548266295,0.00421422711169875,0.00663821044135807,0.00433491451997631,0.00424005237592866,0.00419829607346283,0.0040083882747095,0.906261908537246
"935_02",0.104561619802734,0.00592726229192496,0.00632518378872669,0.00541070242838445,0.00565818173741447,0.00563750592982852,0.00556986925470826,0.00544017763926783,0.00526548012641112,0.00594586649151355,0.0057010266613351,0.00557129379123591,0.0267269786739731,0.00614860250790635,0.00586289583096066,0.00875632477505156,0.0136582415972092,0.00591839738043899,0.00586526317182074,0.00579352018271817,0.00609073882868472,0.748164867107752
"930_09",0.00492032373832987,0.00559007824311058,0.00601180535316599,0.00669586162710815,0.00644170406034129,0.00648044789824501,0.00622186950148214,0.00613008090264128,0.00631921418133029,0.0112057991750564,0.00671129483155572,0.00754470379286255,0.00676081488915757,0.00633517493419073,0.00651299790925688,0.00664645519802873,0.00689589751059727,0.00604605619354799,0.00639256091871029,0.00637319530785858,0.00648750837777847,0.861276155455644
"928_06",0.0438662343085099,0.0410033511142519,0.0385284890334785,0.04858207991322,0.053425885325916,0.068067123859228,0.0430808935992287,0.0724750983968517,0.0746370939294204,0.0578040378187226,0.0424956152344413,0.040097507830495,0.0365204412039235,0.0384526164944432,0.0402842004468813,0.0368254395471593,0.0360351230477533,0.039832942869593,0.0378983945765118,0.0388592185297964,0.0383467272029696,0.0328814857172046
"935_03",0.772079840086715,0.0103473386024371,0.00986984031659047,0.013766175370626,0.0106016210240075,0.019284383075471,0.0130009583693253,0.0109366026546021,0.0127844106945622,0.0103307090231711,0.0103651341512962,0.0101536690040196,0.00948171795242036,0.00952862286806815,0.00997064208784747,0.00965923866448205,0.00969417907440442,0.0103900746484331,0.00983381049649853,0.00954893373540603,0.00992347588615015,0.00844862221346623
"935_08",0.00797758047254418,0.00805141233390661,0.0079627618793321,0.00973316794844595,0.0088718921401304,0.0090967703778208,0.00873330879562534,0.00891153441516534,0.00884158488459661,0.00967744641828566,0.00939232769214711,0.00956853339504473,0.0092006967237014,0.00839850271983327,0.00832705467918319,0.00859427259743647,0.00839559956888726,0.00819656644836284,0.00870376395238373,0.00873567062780151,0.00882815940237413,0.815801392526991
"920_04",0.0588011093974329,0.043378526002337,0.0430776358568652,0.0438037940374271,0.0414087559912427,0.0444825239725444,0.0436468213202334,0.04377291391965,0.0437819972662063,0.0487840431221648,0.0437737114751938,0.0442586757129707,0.0412788842218154,0.0468175151432728,0.0447014379406939,0.0407571306562144,0.0501365305865916,0.0743346042230672,0.040926675565975,0.0404660516580252,0.0415189046779881,0.036091757252088
"920_03",0.0496821933732139,0.04501306648869,0.0433315930140368,0.0520449277822186,0.0470879658300786,0.0500694355427743,0.045806052150339,0.0493063839371495,0.0497746159251207,0.052307900394607,0.0471853966546307,0.0425098849931586,0.0418178575509482,0.0449617354179525,0.0461819952831751,0.0427213409532511,0.0410313782259138,0.0434470588783853,0.0420719123508446,0.042839275225003,0.0429232185810677,0.0378848114474408
"920_09",0.868680868351838,0.00526578792078773,0.00434292885581593,0.004411130692516,0.00426421347308714,0.0043502012551022,0.00455891108564964,0.004457505266989,0.00428073186987623,0.0048414966588563,0.00419540126898515,0.00408312237025609,0.0044874286637846,0.00424984284294815,0.00458715642200762,0.00441916272283306,0.00456069117452307,0.0427030490877686,0.00445138396201104,0.00435650379652482,0.00442979325316248,0.00402268900467732
